ID	CNT_1	CNT_10	CNT_2	CNT_3	CNT_4	CNT_5	CNT_6	CNT_7	CNT_8	CNT_9	ICM_1	ICM_10	ICM_11	ICM_12	ICM_13	ICM_2	ICM_3	ICM_4	ICM_5	ICM_6	ICM_7	ICM_8	ICM_9
ENSG00000151332	55.78	35.41	39.13	34.16	61.6	22.34	52.47	41.6	36.5	37.97	43.12	35.85	34.42	41.94	36.35	63.16	37.31	24.26	42.28	59.57	21.39	31.27	29.21
ENSG00000129204	8.51	0.98	0	2.63	34.12	0	0	0	3.84	0.97	4.9	0.97	1.97	6.67	4.91	55.27	0.98	1.94	1.92	0.98	4.86	2.08	1.95
ENSG00000140092	443.39	483.01	588.8	438.76	730.65	267.06	253.26	295.94	403.41	515.09	596.82	749.85	316.63	362.25	406.68	246.73	411.45	575.51	576.52	387.7	406.36	382.58	455.6
ENSG00000140090	1.89	0	0	1.31	1.9	0	2.02	0	1.92	0	0.98	0	0	0	1.96	2.96	0	2.91	1.92	2.93	0.97	3.13	0.97
ENSG00000071894	474.59	266.59	214.72	118.23	164.89	349.6	324.9	388.6	413.02	335.93	230.3	316.8	465.12	659.68	465.62	197.38	445.82	368.79	655.31	279.3	470.53	467.02	276.48
ENSG00000183785	396.12	442.68	1365.6	1753.74	1479.3	244.72	236.11	570.14	1014.29	2074.99	1608.17	659.75	951.87	475.69	1343.82	1461.61	427.16	635.68	780.22	825.2	346.09	1021.61	1698.78
ENSG00000183784	0	0	0	0	1.9	0	0	7.56	5.76	1.95	0.98	0.97	0	3.81	0	1.97	0.98	0	0	0	0.97	1.04	1.95
ENSG00000183783	0	0	0	0	1.9	0	0	2.84	5.76	0	2.94	0	2.95	0	0	1.97	3.93	0	3.84	3.91	0.97	0	0.97
ENSG00000168405	96.43	81.65	108.79	40.72	75.81	94.2	70.63	85.1	47.06	85.69	47.04	29.06	62.93	52.43	74.66	35.53	92.31	59.2	67.26	63.48	48.61	53.17	89.56
ENSG00000183780	6.62	1.97	5.73	0	0.95	0	2.02	0	0	0	0.98	0	0.98	0	0	0.99	0	0	1.92	0.98	0.97	0	0.97
ENSG00000068323	328.06	251.83	250.03	119.54	162.05	237.92	473.22	119.13	183.46	212.27	127.4	242.2	187.82	157.29	175.84	127.31	193.45	206.72	212.35	215.82	194.43	201.19	157.71
ENSG00000125901	552.12	234.13	199.45	177.34	191.43	485.56	145.3	687.38	348.66	234.67	428.26	510.56	461.18	558.63	528.49	210.21	483.13	717.2	579.4	469.73	547.33	342.97	364.09
ENSG00000198121	26.47	40.33	68.71	73.57	139.31	36.9	63.57	51.06	50.91	61.34	53.9	13.56	31.47	62.92	57.96	55.27	27.5	30.09	26.9	25.39	22.36	39.61	41.86
ENSG00000134962	6.62	0	1.91	1.31	0	0	0	2.84	0	0.97	2.94	4.84	1.97	0	0	0.99	0	0	0.96	0.98	2.92	1.04	0.97
ENSG00000124608	78.47	43.28	56.3	30.21	54.96	33.02	17.15	31.2	89.33	58.42	57.82	48.44	92.43	92.47	101.18	62.18	98.2	99.96	110.5	74.22	79.72	77.14	43.81
ENSG00000198125	47642.73	76959.79	68137.77	75144.26	89191.24	81036.94	51628.65	98377.95	78338.43	65714.05	99309.69	88305	79335.27	66737.24	99520.29	65968.87	45437.85	93875.58	94501.79	92665.7	85040.01	98745.66	85078.33
ENSG00000174483	1.89	3.93	3.82	6.57	1.9	6.8	7.06	2.84	3.84	1.95	3.92	11.63	5.9	1.91	1.96	4.93	5.89	9.71	1.92	10.74	3.89	1.04	1.95
ENSG00000124357	141.81	146.58	114.52	95.9	127.93	104.88	79.71	119.13	81.64	155.79	121.52	117.22	110.13	123.93	132.61	128.3	138.46	66.96	225.8	173.83	105.97	134.48	119.74
ENSG00000171004	0	0.98	0.95	0	0.95	0	5.05	2.84	0	1.95	0.98	1.94	1.97	0	0	2.96	2.95	1.94	0.96	0	2.92	3.13	0
ENSG00000175785	31.2	40.33	102.11	18.39	73.92	33.02	183.64	69.97	36.5	30.19	42.14	64.91	71.78	19.07	54.03	21.71	54.01	14.56	33.63	26.37	35	37.53	43.81
ENSG00000175782	40.65	27.54	29.58	42.04	39.8	24.28	23.21	41.6	16.33	40.9	49	16.47	34.42	35.27	54.03	52.31	36.33	25.23	42.28	24.41	30.14	32.32	21.42
ENSG00000124602	10.4	8.85	4.77	2.63	6.63	17.48	8.07	21.75	7.68	3.89	2.94	14.53	14.75	14.3	4.91	2.96	24.55	17.47	0.96	32.23	8.75	14.59	13.63
ENSG00000139233	12.29	27.54	5.73	32.84	36.96	17.48	42.38	31.2	24.01	32.13	48.02	34.88	16.72	6.67	24.56	30.59	15.71	25.23	5.77	29.3	8.75	21.89	34.07
ENSG00000254402	10.4	4.92	1.91	1.31	3.79	26.22	3.03	4.73	1.92	4.87	1.96	17.44	15.73	10.49	6.88	4.93	8.84	9.71	5.77	5.86	3.89	19.81	9.74
